latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
44.63128,123.61667,316.87,1.2,1.09,2022-05-03,0224,T,42,6.1NRT,292.05,14.99,D
44.47423,124.77849,315.56,1.09,1.04,2022-05-03,0224,T,64,6.1NRT,293.56,9.06,D
44.34042,124.80997,317.21,1.09,1.04,2022-05-03,0224,T,68,6.1NRT,297.58,8.3,D
44.15373,125.55688,314.48,1.04,1.02,2022-05-03,0224,T,57,6.1NRT,295.81,7.76,D
44.04017,125.15657,313.27,1.06,1.03,2022-05-03,0224,T,63,6.1NRT,294.15,5.9,D
43.86227,126.21904,313.57,1.01,1.01,2022-05-03,0224,T,65,6.1NRT,290.08,8.17,D
43.80518,126.03103,322.92,1.02,1.01,2022-05-03,0224,T,79,6.1NRT,286.49,17.31,D
43.80347,126.04347,314.44,1.02,1.01,2022-05-03,0224,T,62,6.1NRT,285.57,9.86,D
43.74594,124.57242,317.62,1.09,1.04,2022-05-03,0224,T,67,6.1NRT,295.8,9.07,D
42.88592,129.48193,313.32,1.11,1.05,2022-05-03,0224,T,66,6.1NRT,293.85,8.34,D
42.87646,129.42314,314.21,1.1,1.05,2022-05-03,0224,T,74,6.1NRT,290.64,9.54,D
43.10155,126.82427,322.46,1,1,2022-05-03,0224,T,58,6.1NRT,285.94,18.88,D
43.36031,124.05014,320.17,1.12,1.06,2022-05-03,0224,T,71,6.1NRT,297.78,10.1,D
43.35867,124.06384,318.62,1.12,1.05,2022-05-03,0224,T,68,6.1NRT,299.18,8.4,D
42.96714,125.95291,318.15,1.01,1,2022-05-03,0224,T,42,6.1NRT,293.69,9.42,D
42.96544,125.96511,325.01,1.01,1,2022-05-03,0224,T,72,6.1NRT,294.34,17.03,D
42.95652,125.96285,319.61,1.01,1,2022-05-03,0224,T,50,6.1NRT,291.98,11.86,D
42.84238,126.63616,310.98,1,1,2022-05-03,0224,T,58,6.1NRT,291.29,6.78,D
42.90632,125.58935,313.04,1.02,1.01,2022-05-03,0224,T,58,6.1NRT,290.96,5.67,D
