latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.3984,123.08716,335.42,2.57,1.54,2022-04-29,0126,T,87,6.1NRT,287.13,127.05,D
-23.56332,130.83881,331.64,1.04,1.02,2022-04-29,0126,T,56,6.1NRT,307.41,21.4,D
-23.58801,130.81422,337.92,1.04,1.02,2022-04-29,0126,T,87,6.1NRT,303.36,27.73,D
-23.59638,130.87498,347.08,1.04,1.02,2022-04-29,0126,T,93,6.1NRT,299.75,50.56,D
-23.60555,130.87354,348.44,1.04,1.02,2022-04-29,0126,T,94,6.1NRT,303.74,52.35,D
-23.60695,130.8837,329.44,1.04,1.02,2022-04-29,0126,T,52,6.1NRT,301.22,19.87,D
-23.61472,130.87209,339.91,1.04,1.02,2022-04-29,0126,T,88,6.1NRT,301.88,35.33,D
27.25026,140.88666,317.08,1,1,2022-04-29,0113,T,62,6.1NRT,300.38,10.16,D
27.24281,140.87509,315.21,1,1,2022-04-29,0113,T,58,6.1NRT,299.73,8.67,D
27.24135,140.88506,317.34,1,1,2022-04-29,0113,T,68,6.1NRT,300.06,10.48,D
-22.58,-47.79578,302.35,1.57,1.23,2022-04-29,0204,T,48,6.1NRT,290.31,10.38,N
-23.19313,-58.34188,307.24,1.83,1.32,2022-04-29,0204,T,71,6.1NRT,289.69,16.02,N
-23.19991,-58.34646,305.21,1.83,1.32,2022-04-29,0204,T,63,6.1NRT,289.6,12.56,N
-22.13282,-53.04935,312.14,1,1,2022-04-29,0204,T,84,6.1NRT,292.2,10.61,N
-22.13417,-53.05902,303.24,1,1,2022-04-29,0204,T,54,6.1NRT,292.14,4.68,N
-22.0693,-52.66425,302.82,1,1,2022-04-29,0204,T,52,6.1NRT,290.98,4.76,N
-22.07068,-52.67392,302.76,1,1,2022-04-29,0204,T,51,6.1NRT,289.24,4.8,N
28.68806,7.20141,301.62,1.51,1.21,2022-04-29,0145,A,43,6.1NRT,287.18,12.79,N
14.25488,-10.54537,308.26,3.75,1.81,2022-04-29,0149,A,74,6.1NRT,295.08,44.17,N
4.59576,-2.88985,308.68,1,1,2022-04-29,0152,A,62,6.1NRT,293.52,5.78,N
49.26141,9.14759,301.74,1,1,2022-04-29,0139,A,44,6.1NRT,276.05,9.01,N
48.27895,14.34618,303.08,1.41,1.17,2022-04-29,0139,A,53,6.1NRT,279.3,16.26,N
45.14679,9.94143,300.56,1.09,1.04,2022-04-29,0141,A,30,6.1NRT,283.02,8.22,N
43.38164,5.01261,316.19,1.04,1.02,2022-04-29,0141,A,93,6.1NRT,286.8,18.11,N
52.15344,10.40623,309,1,1,2022-04-29,0139,A,76,6.1NRT,275.25,13.33,N
-46.00797,169.72852,310.12,1.41,1.17,2022-04-29,0232,A,70,6.1NRT,288.42,17.41,D
-46.00971,169.71034,301.83,1.41,1.18,2022-04-29,0232,A,49,6.1NRT,286.59,8.97,D
-45.77093,168.73529,324.04,1.56,1.23,2022-04-29,0232,A,83,6.1NRT,286.99,45.75,D
-44.91618,170.91235,306.39,1.21,1.1,2022-04-29,0232,A,63,6.1NRT,286.29,11.26,D
-44.64367,170.53297,312.25,1.25,1.11,2022-04-29,0232,A,72,6.1NRT,287.74,17.29,D
-39.99823,175.18092,308.47,1.06,1.03,2022-04-29,0232,A,67,6.1NRT,291.01,8.8,D
-40.00024,175.16853,305.17,1.06,1.03,2022-04-29,0232,A,61,6.1NRT,290.84,6.59,D
-21.28006,-53.92029,306.77,1.02,1.01,2022-04-29,0204,T,69,6.1NRT,292.53,7.53,N
-21.19818,-56.4112,305.64,1.29,1.13,2022-04-29,0204,T,65,6.1NRT,292.28,9.51,N
-21.19968,-56.42347,302.86,1.29,1.13,2022-04-29,0204,T,52,6.1NRT,292.72,7.22,N
-20.91743,-55.54969,301.32,1.15,1.07,2022-04-29,0204,T,35,6.1NRT,290.39,4.54,N
-20.91885,-55.56079,301.68,1.15,1.07,2022-04-29,0204,T,41,6.1NRT,290.01,4.83,N
-20.90922,-55.56226,301.26,1.15,1.07,2022-04-29,0204,T,35,6.1NRT,288.95,4.53,N
-20.15218,-56.65614,306.92,1.29,1.13,2022-04-29,0204,T,60,6.1NRT,293.05,9.67,N
-20.14048,-56.6452,303.45,1.29,1.13,2022-04-29,0204,T,30,6.1NRT,293.44,6.84,N
-20.14202,-56.65756,308.22,1.29,1.13,2022-04-29,0204,T,74,6.1NRT,292.49,11.1,N
-19.78166,-55.41611,305.31,1.11,1.05,2022-04-29,0204,T,64,6.1NRT,294.05,5.73,N
-18.65387,-58.21978,320.69,1.55,1.23,2022-04-29,0204,T,100,6.1NRT,294.38,31.7,N
-18.64108,-58.20654,314.77,1.55,1.23,2022-04-29,0204,T,90,6.1NRT,293.73,21.33,N
-18.64278,-58.2212,316.38,1.55,1.23,2022-04-29,0204,T,93,6.1NRT,293.73,23.94,N
-18.57979,-58.85222,306.73,1.72,1.29,2022-04-29,0204,T,69,6.1NRT,293.12,11.88,N
-18.58161,-58.8679,305.8,1.72,1.29,2022-04-29,0204,T,66,6.1NRT,291.26,10.6,N
-18.55428,-58.93866,303.02,1.74,1.29,2022-04-29,0204,T,50,6.1NRT,288.32,9.24,N
-18.55614,-58.95515,300.97,1.75,1.3,2022-04-29,0204,T,20,6.1NRT,287.93,7.14,N
-18.48672,-58.93622,317.39,1.74,1.29,2022-04-29,0204,T,95,6.1NRT,294.26,30.18,N
-18.48862,-58.9527,310.8,1.74,1.29,2022-04-29,0204,T,81,6.1NRT,293.64,18.56,N
-17.53124,-52.26019,300.03,1.06,1.03,2022-04-29,0204,T,11,6.1NRT,288.97,5.73,N
-18.17941,-59.16162,313.29,1.79,1.31,2022-04-29,0206,T,87,6.1NRT,293.15,24.34,N
-18.18128,-59.17861,315.12,1.79,1.31,2022-04-29,0206,T,91,6.1NRT,292.89,27.88,N
-18.17303,-59.16801,320.28,1.79,1.31,2022-04-29,0206,T,100,6.1NRT,293.05,39.18,N
-18.17501,-59.18501,303.05,1.79,1.31,2022-04-29,0206,T,53,6.1NRT,292.55,8.93,N
-17.71758,-60.79297,304.93,2.33,1.48,2022-04-29,0206,T,31,6.1NRT,288.1,27.79,N
-17.26103,-60.5117,308.62,2.19,1.43,2022-04-29,0206,T,75,6.1NRT,291.69,23.66,N
-17.26325,-60.5323,322.88,2.19,1.44,2022-04-29,0206,T,100,6.1NRT,291.96,62.5,N
-17.26261,-60.51713,318.18,2.19,1.43,2022-04-29,0206,T,96,6.1NRT,292.11,46.13,N
-17.265,-60.53782,314.24,2.19,1.44,2022-04-29,0206,T,89,6.1NRT,291.42,35.7,N
-16.97816,-61.71963,314.78,2.68,1.57,2022-04-29,0206,T,90,6.1NRT,291.16,51.74,N
-16.6799,-60.76817,302.46,2.24,1.45,2022-04-29,0206,T,49,6.1NRT,291.77,12.64,N
-16.41305,-60.81872,317.6,2.24,1.45,2022-04-29,0206,T,95,6.1NRT,291.63,49.04,N
-16.39996,-60.82022,304.6,2.24,1.45,2022-04-29,0206,T,61,6.1NRT,291.35,17.88,N
-16.18513,-60.88004,308.78,2.25,1.45,2022-04-29,0206,T,75,6.1NRT,292.33,24.67,N
-16.18789,-60.8853,309.68,2.25,1.45,2022-04-29,0206,T,78,6.1NRT,292.37,29.17,N
-16.21967,-61.80251,305.31,2.65,1.56,2022-04-29,0206,T,64,6.1NRT,291.21,25.3,N
-16.21546,-61.80989,306.56,2.65,1.56,2022-04-29,0206,T,68,6.1NRT,290.98,28.81,N
-16.02119,-60.23253,305.69,2,1.38,2022-04-29,0206,T,65,6.1NRT,293.98,16.34,N
-14.65682,-50.46759,339.4,1.42,1.18,2022-04-29,0206,T,100,6.1NRT,294.64,69.49,N
-14.65893,-50.48081,374.32,1.42,1.18,2022-04-29,0206,T,100,6.1NRT,297.88,218.45,N
-14.64624,-50.46938,307.87,1.42,1.18,2022-04-29,0206,T,73,6.1NRT,293.58,12.14,N
-14.64834,-50.48252,332.31,1.42,1.18,2022-04-29,0206,T,100,6.1NRT,293.75,52.2,N
